Time Stamp, Oakland
Tue Jan 15 07:57:32 2013,        -10
Tue Jan 15 07:57:43 2013,        -10
Tue Jan 15 07:57:53 2013,        -10
Tue Jan 15 07:58:04 2013,        -10
Tue Jan 15 07:58:15 2013,        -10
Tue Jan 15 07:58:25 2013,        -10
Tue Jan 15 07:58:36 2013,        -10
Tue Jan 15 07:58:46 2013,        -10
Tue Jan 15 07:58:57 2013,        -10
Tue Jan 15 07:59:08 2013,        -10
Tue Jan 15 07:59:18 2013,        -10
Tue Jan 15 07:59:29 2013,        -10
Tue Jan 15 07:59:39 2013,        -10
Tue Jan 15 07:59:50 2013,        -10
Tue Jan 15 08:00:01 2013,        -10
Tue Jan 15 08:00:11 2013,        -10
Tue Jan 15 08:00:22 2013,        -10
Tue Jan 15 08:00:32 2013,        -10
Tue Jan 15 08:00:43 2013,        -10
Tue Jan 15 08:00:54 2013,        -10
Tue Jan 15 08:01:04 2013,          0
Tue Jan 15 08:01:26 2013,          0
Tue Jan 15 08:01:47 2013,          0
Tue Jan 15 08:02:08 2013,          0
Tue Jan 15 08:02:30 2013,          0
Tue Jan 15 08:02:51 2013,          0
Tue Jan 15 08:03:13 2013,          0
Tue Jan 15 08:03:34 2013,          0
Tue Jan 15 08:03:56 2013,          0
Tue Jan 15 08:04:17 2013,          1
Tue Jan 15 08:04:39 2013,          1
Tue Jan 15 08:05:00 2013,          1
Tue Jan 15 08:05:22 2013,          1
Tue Jan 15 08:05:43 2013,          1
Tue Jan 15 08:06:04 2013,          1
Tue Jan 15 08:06:26 2013,          3
Tue Jan 15 08:06:47 2013,          3
Tue Jan 15 08:07:09 2013,          3
Tue Jan 15 08:07:30 2013,          3
Tue Jan 15 08:07:51 2013,          3
Tue Jan 15 08:08:13 2013,          5
Tue Jan 15 08:08:35 2013,          5
Tue Jan 15 08:08:56 2013,          5
Tue Jan 15 08:09:18 2013,          5
Tue Jan 15 08:09:39 2013,          5
Tue Jan 15 08:10:00 2013,          5
Tue Jan 15 08:10:22 2013,          7
Tue Jan 15 08:10:44 2013,          7
Tue Jan 15 08:11:05 2013,          7
Tue Jan 15 08:11:26 2013,          7
Tue Jan 15 08:11:48 2013,          7
Tue Jan 15 08:12:09 2013,          7
Tue Jan 15 08:12:31 2013,          9
Tue Jan 15 08:12:52 2013,          9
Tue Jan 15 08:13:13 2013,          9
Tue Jan 15 08:13:35 2013,          9
Tue Jan 15 08:13:56 2013,          9
Tue Jan 15 08:14:18 2013,         10
Tue Jan 15 08:14:39 2013,         10
Tue Jan 15 08:15:01 2013,         10
Tue Jan 15 08:15:22 2013,         10
